City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
1,Tubmanburg,LR,73.11,overcast clouds,6.8708,-10.8172,Vai town #3 Community
9,Pemangkat,ID,74.7,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
14,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Hotel Las Lomas
21,Pisco,PE,72.01,mist,-13.7,-76.2167,Hosteria del Monasterio
28,Sao Filipe,CV,70.63,broken clouds,14.8961,-24.4956,Tortuga B&B - Fogo
82,Pangkalanbuun,ID,72.93,overcast clouds,-2.6833,111.6167,BRITS Hotel Pangkalan Bun
94,Banganapalle,IN,73.99,few clouds,15.3167,78.2333,Hotel salamth
108,Dokri,PK,70.77,clear sky,27.3743,68.0967,Marjan Hotel
115,Wattegama,LK,70.57,clear sky,6.7989,81.4808,
131,Gbarnga,LR,72.64,light rain,6.9956,-9.4722,THE WAMAN'S RESIDENT
136,Marsh Harbour,BS,72.57,scattered clouds,26.5412,-77.0636,Island Breezes Hotel
137,Anuradhapura,LK,70.07,scattered clouds,8.3565,80.4173,Avasta Resort and Spa
142,Phan Thiet,VN,73.04,overcast clouds,10.9333,108.1,Ocean Dunes Resort
143,Varzea Da Palma,BR,71.6,light rain,-17.5981,-44.7308,Hotel São Francisco de Assis
147,Japura,ID,72.41,overcast clouds,-0.3167,102.35,Wajiman Homestay
177,Vallenar,CL,74.77,clear sky,-28.5708,-70.7581,Hotel Origenes
179,Salalah,OM,71.69,clear sky,17.0151,54.0924,City Hotel
200,Cam Ranh,VN,71.56,scattered clouds,11.9214,109.1591,Thanh My Cam Ranh hotel
217,Iquique,CL,73.44,scattered clouds,-20.2208,-70.1431,Hotel Barros Arana
226,Kyela,TZ,74.12,overcast clouds,-9.5833,33.85,Kyela Resort
231,Ayorou,NE,72.28,clear sky,14.7308,0.9174,Auberge Hippopotam
240,Brufut,GM,71.69,broken clouds,13.3814,-16.7518,Afroco Holiday Apartments
243,Praia,CV,70.34,broken clouds,14.9215,-23.5087,Sol Hotel
245,Mecca,SA,71.44,clear sky,21.4267,39.8261,Mövenpick Hotel And Residences Hajar Tower Makkah
258,Camana,PE,73.04,broken clouds,-16.6228,-72.7111,Hospedaje EL MARQUEZ
267,Diamantino,BR,71.87,broken clouds,-14.4086,-56.4461,Hotel Querencia
275,Muscat,OM,73.42,clear sky,23.6139,58.5922,Marina Hotel
285,Port Blair,IN,71.64,mist,11.6667,92.75,"Hotel Sentinel, Port Blair"
