City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
0,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,0,3.44,clear sky
1,Tubmanburg,LR,6.8708,-10.8172,73.11,91,100,1.52,overcast clouds
2,Kodiak,US,57.79,-152.4072,44.11,76,75,12.66,broken clouds
3,Hobart,AU,-42.8794,147.3294,59.25,57,20,8.05,few clouds
4,Itarema,BR,-2.9248,-39.9167,80.08,77,3,15.19,clear sky
5,Bluff,NZ,-46.6,168.3333,58.8,85,100,18.37,overcast clouds
6,Hutchinson,US,38.0608,-97.9298,69.75,17,0,0.0,clear sky
7,Hilo,US,19.7297,-155.09,80.33,79,40,8.05,scattered clouds
8,Port-Cartier,CA,50.0334,-66.8654,7.02,83,29,7.36,scattered clouds
9,Pemangkat,ID,1.1667,108.9667,74.7,91,94,6.31,overcast clouds
10,Novopokrovka,UA,49.8425,36.5477,41.38,80,100,13.62,overcast clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,83.61,66,20,11.5,few clouds
12,Teacapan,MX,22.55,-105.75,77.92,45,24,12.48,few clouds
13,Tazovskiy,RU,67.4667,78.7,14.04,94,100,12.35,overcast clouds
14,San Cristobal,VE,7.7669,-72.225,71.78,78,89,3.24,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,66.6,82,19,7.9,few clouds
16,Matamoros,MX,25.5333,-103.25,89.71,13,75,17.27,broken clouds
17,Salinas,US,36.6777,-121.6555,60.3,54,0,18.41,clear sky
18,Barrow,US,71.2906,-156.7887,-0.38,71,100,20.71,haze
19,Ribeira Grande,PT,38.5167,-28.7,57.22,67,73,1.52,broken clouds
20,Cidreira,BR,-30.1811,-50.2056,76.26,76,60,15.03,broken clouds
21,Pisco,PE,-13.7,-76.2167,72.01,83,40,9.22,mist
22,Atuona,PF,-9.8,-139.0333,78.49,72,19,17.9,few clouds
23,Surgut,RU,61.25,73.4167,21.38,92,75,8.99,light shower snow
24,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,100,75,10.36,moderate rain
25,Constitucion,CL,-35.3333,-72.4167,61.03,84,54,6.24,broken clouds
26,Hengyang,CN,26.8881,112.615,35.92,98,100,5.19,overcast clouds
27,Pula,HR,44.8683,13.8481,47.26,75,0,16.11,clear sky
28,Sao Filipe,CV,14.8961,-24.4956,70.63,71,70,12.01,broken clouds
29,Havoysund,NO,70.9963,24.6622,16.68,82,99,3.44,overcast clouds
30,Genhe,CN,50.7833,121.5167,-24.56,100,95,0.69,overcast clouds
31,Jamestown,US,42.097,-79.2353,60.12,37,0,8.05,clear sky
32,Namatanai,PG,-3.6667,152.4333,82.51,74,99,5.46,light rain
33,Rikitea,PF,-23.1203,-134.9692,77.38,70,21,5.95,few clouds
34,Evensk,RU,61.95,159.2333,-15.77,80,3,7.58,clear sky
35,Cape Town,ZA,-33.9258,18.4232,66.27,75,0,8.05,clear sky
36,Cody,US,44.5263,-109.0565,1.69,66,100,21.85,overcast clouds
37,Nampa,US,43.5407,-116.5635,41.65,61,0,6.91,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,20,16.11,few clouds
39,Hermanus,ZA,-34.4187,19.2345,64.8,81,92,1.7,overcast clouds
40,Ushuaia,AR,-54.8,-68.3,60.46,55,75,19.57,broken clouds
41,Adrar,MR,20.5022,-10.0711,80.64,14,100,7.34,overcast clouds
42,Maniitsoq,GL,65.4167,-52.9,-13.7,90,48,7.4,scattered clouds
43,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,98,1.14,overcast clouds
44,Lalpur,IN,22.2,69.9667,66.78,84,0,8.01,clear sky
45,Miramar,US,25.9873,-80.2323,77.02,64,0,9.22,clear sky
46,Aksarka,RU,66.5606,67.7975,18.88,97,100,7.43,overcast clouds
47,Port Keats,AU,-14.25,129.55,79.41,86,64,4.16,broken clouds
48,Shikarpur,PK,27.9571,68.6379,64.29,28,6,4.18,clear sky
49,Abonnema,NG,4.7084,6.7931,81.54,81,72,8.16,broken clouds
50,Vaini,TO,-21.2,-175.2,80.96,79,64,18.1,moderate rain
51,Bonavista,CA,48.6499,-53.1147,33.8,71,73,25.99,broken clouds
52,Fairfield,US,41.2668,-73.3162,49.19,66,0,4.61,clear sky
53,Talca,CL,-35.4333,-71.6667,83.91,36,100,8.84,overcast clouds
54,Northam,GB,51.0333,-4.2167,49.24,91,79,11.88,broken clouds
55,Ponta Do Sol,PT,32.6667,-17.1,63.23,56,33,11.56,scattered clouds
56,Kavieng,PG,-2.5744,150.7967,78.49,89,100,11.77,light rain
57,Baiyin,CN,36.5583,104.2081,14.88,53,41,2.3,scattered clouds
58,Qaanaaq,GL,77.484,-69.3632,-6.86,55,84,9.19,broken clouds
59,Castro,BR,-24.7911,-50.0119,65.25,89,9,3.29,clear sky
60,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,14.97,scattered clouds
61,Sayyan,YE,15.1718,44.3244,49.6,33,61,4.61,broken clouds
62,Palmares Do Sul,BR,-30.2578,-50.5097,76.08,69,67,12.8,broken clouds
63,Yeppoon,AU,-23.1333,150.7333,78.58,73,32,14.14,scattered clouds
64,Nikolskoye,RU,59.7035,30.7861,33.87,99,100,6.29,snow
65,Busselton,AU,-33.65,115.3333,64.22,75,0,8.79,clear sky
66,Provideniya,RU,64.3833,-173.3,23.36,86,100,8.99,heavy snow
67,Dingle,PH,10.9995,122.6711,75.22,89,100,7.47,moderate rain
68,Mahebourg,MU,-20.4081,57.7,80.26,94,75,23.02,broken clouds
69,Punta Arenas,CL,-53.15,-70.9167,66.31,39,0,18.41,clear sky
70,Albany,US,42.6001,-73.9662,53.47,86,33,0.85,scattered clouds
71,Nagua,DO,19.3832,-69.8474,78.85,78,40,11.5,scattered clouds
72,Pangnirtung,CA,66.1451,-65.7125,-29.2,68,20,0.0,few clouds
73,Belsand,IN,26.45,85.4,55.56,53,0,4.7,clear sky
74,Geraldton,AU,-28.7667,114.6,66.61,77,62,5.75,broken clouds
75,Grafton,US,42.207,-71.6856,54.12,35,0,6.91,clear sky
76,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,38,7.0,scattered clouds
77,Rawson,AR,-43.3002,-65.1023,55.56,60,94,11.95,overcast clouds
78,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.77,88,45,13.06,scattered clouds
79,Erenhot,CN,43.6475,111.9767,-1.79,85,2,5.19,clear sky
80,Padang,ID,-0.9492,100.3543,76.51,89,100,4.38,overcast clouds
81,Pitanga,BR,-24.7572,-51.7614,66.13,94,64,1.57,broken clouds
82,Pangkalanbuun,ID,-2.6833,111.6167,72.93,97,100,2.73,overcast clouds
83,Butaritari,KI,3.0707,172.7902,81.23,81,75,20.02,light rain
84,Ishigaki,JP,24.3448,124.1572,64.53,88,75,19.57,broken clouds
85,Nanortalik,GL,60.1432,-45.2371,10.85,77,55,10.69,broken clouds
86,Georgetown,MY,5.4112,100.3354,78.73,98,20,2.3,few clouds
87,Kirensk,RU,57.7853,108.1119,3.29,99,99,4.18,overcast clouds
88,Nova Varos,RS,43.4606,19.8114,35.82,93,98,1.45,overcast clouds
89,Thompson,CA,55.7435,-97.8558,-9.24,54,0,8.05,clear sky
90,Saint George,US,37.1041,-113.5841,52.63,45,100,27.63,overcast clouds
91,Nagorsk,RU,59.3172,50.8078,27.07,96,97,6.91,overcast clouds
92,Bengkulu,ID,-3.8004,102.2655,75.07,89,87,3.89,overcast clouds
93,Huilong,CN,31.8111,121.655,42.04,56,96,4.45,overcast clouds
94,Banganapalle,IN,15.3167,78.2333,73.99,58,17,2.42,few clouds
95,Bryan,US,30.6744,-96.37,83.34,57,75,24.16,broken clouds
96,Colares,PT,38.7992,-9.4469,57.88,63,52,15.99,broken clouds
97,Chandbali,IN,20.7833,86.7667,68.38,90,46,4.09,scattered clouds
98,Waipawa,NZ,-41.4122,175.5153,66.94,57,2,11.63,clear sky
99,East London,ZA,-33.0153,27.9116,68.23,76,1,5.44,clear sky
100,Ulaangom,MN,49.9811,92.0667,-17.1,94,90,3.58,overcast clouds
101,Pokhara,NP,28.2333,83.9833,48.97,51,0,6.11,clear sky
102,Mataura,NZ,-46.1927,168.8643,58.48,97,100,7.45,overcast clouds
103,Lagoa,PT,39.05,-27.9833,56.73,62,94,3.65,overcast clouds
104,Tiksi,RU,71.6872,128.8694,-4.92,96,100,8.77,overcast clouds
105,Nouadhibou,MR,20.931,-17.0347,64.38,68,100,13.8,overcast clouds
106,Nyurba,RU,63.2842,118.3319,8.74,94,93,7.09,overcast clouds
107,Avarua,CK,-21.2078,-159.775,84.25,79,20,18.41,few clouds
108,Dokri,PK,27.3743,68.0967,70.77,34,7,10.04,clear sky
109,Reitoca,HN,13.8258,-87.4653,88.68,38,96,9.86,overcast clouds
110,Balabac,PH,7.9868,117.0645,78.19,84,100,10.51,moderate rain
111,Oussouye,SN,12.485,-16.5469,77.18,71,38,5.88,scattered clouds
112,Bethel,US,41.3712,-73.414,49.03,67,99,3.36,overcast clouds
113,San Clemente,US,33.427,-117.612,62.65,67,75,13.0,broken clouds
114,Xining,CN,36.6167,101.7667,14.02,65,43,3.4,scattered clouds
115,Wattegama,LK,6.7989,81.4808,70.57,95,1,1.83,clear sky
116,Auki,SB,-8.7676,160.7034,85.42,69,96,2.73,overcast clouds
117,Tautira,PF,-17.7333,-149.15,86.02,71,39,15.88,scattered clouds
118,Talaya,RU,61.3833,152.75,-39.01,99,75,0.16,broken clouds
119,Kapaa,US,22.0752,-159.319,78.48,64,0,11.5,clear sky
120,Cherskiy,RU,68.75,161.3,-48.57,100,100,4.94,overcast clouds
121,Berlevag,NO,70.8578,29.0864,19.2,79,40,11.5,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,67.53,54,4,10.25,clear sky
123,Lompoc,US,34.6391,-120.4579,64.56,61,0,19.57,clear sky
124,Kutum,SD,14.2,24.6667,57.51,19,6,8.08,clear sky
125,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,69,82,8.37,broken clouds
126,Berdigestyakh,RU,62.0989,126.6992,8.91,96,100,3.69,overcast clouds
127,Manaure,CO,11.7751,-72.4445,82.51,60,54,21.43,broken clouds
128,Kaitangata,NZ,-46.2817,169.8464,63.93,74,100,5.28,moderate rain
129,Bolgar,RU,54.95,49.0667,17.51,93,100,8.86,overcast clouds
130,Iqaluit,CA,63.7506,-68.5145,-29.47,68,75,20.71,broken clouds
131,Gbarnga,LR,6.9956,-9.4722,72.64,98,78,3.67,light rain
132,Hofn,IS,64.2539,-15.2082,36.9,98,100,54.2,heavy intensity rain
133,Tasiilaq,GL,65.6145,-37.6368,26.76,77,100,38.27,light snow
134,Krasnoborsk,RU,61.5598,45.934,23.47,98,97,3.53,overcast clouds
135,San Juan,AR,-31.5375,-68.5364,67.46,64,97,15.79,light rain
136,Marsh Harbour,BS,26.5412,-77.0636,72.57,72,50,18.88,scattered clouds
137,Anuradhapura,LK,8.3565,80.4173,70.07,97,50,4.07,scattered clouds
138,Katsuura,JP,35.1333,140.3,35.11,49,69,4.72,broken clouds
139,Faanui,PF,-16.4833,-151.75,81.3,76,100,19.66,light rain
140,Male,MV,4.1748,73.5089,80.55,83,20,2.3,few clouds
