City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,-5.64,54,75,14.97,broken clouds
1,Sakakah,SA,29.9697,40.2064,72.97,21,100,9.44,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,53.26,50,75,13.8,broken clouds
3,Bambanglipuro,ID,-7.95,110.2833,75.38,90,100,6.17,overcast clouds
4,Mahebourg,MU,-20.4081,57.7,80.89,83,75,13.8,broken clouds
5,Henties Bay,NA,-22.116,14.2845,63.86,82,9,9.69,clear sky
6,Barrow,US,71.2906,-156.7887,-15.38,100,100,4.45,overcast clouds
7,Saint George,US,37.1041,-113.5841,70.27,28,0,1.01,clear sky
8,Ryotsu,JP,38.0833,138.4333,44.29,70,100,15.37,light rain
9,Hilo,US,19.7297,-155.09,79.25,72,100,8.05,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,79.74,70,16,15.82,light rain
11,Vao,NC,-22.6667,167.4833,79.23,81,95,19.15,overcast clouds
12,Bluff,NZ,-46.6,168.3333,43.81,82,100,3.24,overcast clouds
13,Saskylakh,RU,71.9167,114.0833,-29.6,100,90,5.21,overcast clouds
14,Balkhash,KZ,46.844,74.9804,26.29,93,70,7.27,broken clouds
15,Sao Filipe,CV,14.8961,-24.4956,73.78,68,0,14.38,clear sky
16,Qaqortoq,GL,60.7167,-46.0333,27.1,94,100,17.2,light snow
17,Kapaa,US,22.0752,-159.319,71.58,94,0,8.05,clear sky
18,Kloulklubed,PW,7.0419,134.2556,83.07,76,29,15.66,scattered clouds
19,Alofi,NU,-19.0595,-169.9187,76.89,94,100,2.3,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,73.09,73,40,10.36,scattered clouds
21,Altay,CN,47.8667,88.1167,19.15,92,100,0.74,light snow
22,Jalu,LY,29.0331,21.5482,56.17,46,70,19.64,broken clouds
23,Bud,US,39.447,-86.1758,65.48,45,100,8.93,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.36,94,100,11.5,light rain
25,Lieksa,FI,63.3167,30.0167,31.19,92,100,12.59,overcast clouds
26,Busselton,AU,-33.65,115.3333,49.08,64,46,6.11,scattered clouds
27,Jamestown,US,42.097,-79.2353,44.53,38,0,9.22,clear sky
28,Portland,US,45.5234,-122.6762,54.84,95,100,4.61,light rain
29,Longyearbyen,SJ,78.2186,15.6401,13.84,85,75,5.75,light snow
30,Punta Arenas,CL,-53.15,-70.9167,48.31,87,100,10.36,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,63.91,73,31,1.34,scattered clouds
